domain,n_posts,total_engagement,avg_engagement,median_engagement
www.cfbisd.edu,398,25721,64.62562814070351,52.0
www.spencerschools.org,398,25686,64.53768844221105,47.0
www.sarasotacountyschools.net,398,25670,64.49748743718592,34.0
www.dcps.k12.md.us,398,25655,64.45979899497488,43.5
www.mtoliveboe.org,398,25588,64.29145728643216,20.0
www.district196.org,198,25549,129.03535353535352,92.5
www.powayusd.com,398,25509,64.0929648241206,42.0
www.saugerties.k12.ny.us,398,25504,64.08040201005025,38.0
www.bcsd.com,398,25450,63.94472361809045,46.0
www.lancaster.k12.pa.us,398,25446,63.93467336683417,33.0
www.clayton.k12.ga.us,398,25432,63.89949748743719,36.0
www.ucityschools.org,398,25407,63.836683417085425,20.0
www.mexico.cnyric.org,398,25370,63.743718592964825,36.0
www.ladueschools.net,398,25335,63.65577889447236,37.0
www.fhps.net,398,25315,63.60552763819096,41.0
www.fsd1.org,398,25301,63.57035175879397,23.0
www.wssd.org,398,25279,63.515075376884425,42.0
www.decaturisd.us,409,25200,61.613691931540345,39.0
www.bethel.k12.ct.us,398,25175,63.253768844221106,48.0
www.nesd.k12.pa.us,398,25167,63.233668341708544,36.5
www.wacoisd.org,405,25147,62.09135802469136,45.0
stark100.com,796,25130,31.57035175879397,22.0
www.spsk12.net,404,25115,62.165841584158414,33.0
www.comalisd.org,406,25112,61.85221674876847,34.0
www.dkschools.org,598,25098,41.96989966555184,28.0
www.wcusd15.org,994,25094,25.24547283702213,14.0
www.cforks.org,398,25076,63.005025125628144,42.0
www.kwcps.k12.va.us,406,25072,61.75369458128079,40.0
www.issaquah.wednet.edu,399,25051,62.78446115288221,29.0
www.tarkingtonisd.net,399,24990,62.63157894736842,59.0
www.brazosportisd.net,407,24980,61.37592137592138,35.0
www.mtvernoncsd.org,398,24954,62.698492462311556,31.0
www.calallen.org,412,24933,60.51699029126213,36.0
www.wahooschools.org,398,24901,62.56532663316583,57.0
www.laferiaisd.org,798,24878,31.17543859649123,17.0
www.successacademies.org,398,24859,62.459798994974875,35.5
www.shenet.org,398,24833,62.39447236180904,25.0
www.sumterschools.net,398,24829,62.38442211055276,27.0
www.bloom-carroll.k12.oh.us,398,24823,62.369346733668344,41.5
www.banderaisd.net,798,24820,31.102756892230577,17.0
www.tooeleschools.org,400,24809,62.0225,40.5
www.oneidacsd.org,398,24791,62.28894472361809,35.0
www.usd250.org,398,24779,62.25879396984924,41.0
www.rochester.k12.mi.us,398,24763,62.21859296482412,37.5
www.kingfisher.k12.ok.us,820,24758,30.192682926829267,14.0
