nces_id,n_posts,total_engagement,total_likes,total_comments,total_shares,avg_engagement,median_engagement,p90_engagement,max_engagement,pct_with_image,pct_with_link,pct_with_text
4224570,399,18239,16480,1212,547,45.711779448621556,28.0,114.19999999999999,403,0.3533834586466165,0.7794486215538847,0.974937343358396
2003210,402,13937,11989,1622,326,34.669154228855724,21.0,79.0,201,0.6492537313432836,0.1517412935323383,0.7189054726368159
2005870,398,6458,5931,179,348,16.22613065326633,7.0,45.60000000000002,117,0.30402010050251255,0.3768844221105528,0.9849246231155779
2008100,205,3189,2865,222,102,15.55609756097561,9.0,33.599999999999994,159,0.5658536585365853,0.1073170731707317,0.7073170731707317
2009090,211,1865,1485,222,158,8.838862559241706,5.0,20.0,83,0.3175355450236967,0.18009478672985782,0.6161137440758294
3013260,398,16489,13637,1042,1810,41.42964824120603,23.0,89.20000000000005,578,0.4472361809045226,0.535175879396985,0.9698492462311558
3305220,432,10781,9668,905,208,24.95601851851852,14.0,60.0,207,0.6018518518518519,0.13194444444444445,0.8217592592592593
1812990,146,3771,2675,258,838,25.828767123287673,10.0,50.0,771,0.21232876712328766,0.2945205479452055,0.6643835616438356
2105820,344,1517,1242,91,184,4.409883720930233,0.0,10.0,188,0.09593023255813954,0.8401162790697675,0.9563953488372093
2201890,451,5078,3020,951,1107,11.259423503325943,3.0,35.0,214,0.4656319290465632,0.17073170731707318,0.24833702882483372
3630390,198,2927,2573,253,101,14.782828282828282,7.5,34.0,133,0.7323232323232324,0.5050505050505051,0.9393939393939394
4900030,810,69352,55212,10162,3978,85.61975308641975,54.0,198.0,1370,0.3950617283950617,0.5333333333333333,0.9185185185185185
2004170,401,4104,3635,343,126,10.234413965087281,6.0,24.0,86,0.3790523690773067,0.16708229426433915,0.940149625935162
802400,215,1086,984,54,48,5.051162790697674,2.0,12.0,91,0.413953488372093,0.3302325581395349,0.40930232558139534
1904440,418,11989,10874,569,546,28.681818181818183,19.0,67.30000000000001,269,0.4473684210526316,0.24401913875598086,0.6267942583732058
100330,407,10666,6733,3106,827,26.206388206388205,9.0,50.400000000000034,707,0.6093366093366094,0.23095823095823095,0.828009828009828
2700366,198,2642,2355,254,33,13.343434343434344,7.0,35.30000000000001,116,0.5909090909090909,0.3787878787878788,0.9646464646464646
3904867,199,16794,15647,921,226,84.39195979899498,78.0,157.2000000000001,305,0.6130653266331658,0.1658291457286432,0.9396984924623115
2000014,398,12895,11514,1318,63,32.39949748743719,20.0,87.60000000000002,257,0.6180904522613065,0.0728643216080402,0.964824120603015
100600,218,6156,4016,1102,1038,28.238532110091743,13.0,77.90000000000003,234,0.3532110091743119,0.17889908256880735,0.6192660550458715
3105010,398,3658,3396,201,61,9.190954773869347,3.0,28.0,88,0.40954773869346733,0.23115577889447236,0.992462311557789
2610200,1113,12066,10587,798,681,10.840970350404312,4.0,30.0,210,0.4222821203953279,0.18149146451033243,0.5247079964061097
5301470,399,4829,3898,282,649,12.102756892230577,7.0,30.0,101,0.22556390977443608,0.6215538847117794,0.9824561403508771
3700960,402,7770,5179,1453,1138,19.328358208955223,6.0,58.900000000000034,201,0.5074626865671642,0.1890547263681592,0.7338308457711443
3700140,399,9628,8529,742,357,24.13032581453634,18.0,54.19999999999999,135,0.44862155388471175,0.5012531328320802,0.9097744360902256
2200146,201,1477,1312,57,108,7.348258706467662,6.0,14.0,31,0.6517412935323383,0.3681592039800995,0.8955223880597015
2611600,857,29689,21312,5692,2685,34.64294049008168,14.0,99.79999999999995,451,0.20420070011668612,0.23920653442240372,0.5682613768961493
2710170,398,28408,26676,1542,190,71.37688442211055,50.0,160.0,297,0.7437185929648241,0.15577889447236182,0.914572864321608
3403780,206,10881,9553,537,791,52.820388349514566,30.0,120.0,391,0.34951456310679613,0.5194174757281553,0.7233009708737864
3904475,399,13831,11938,1534,359,34.664160401002505,14.0,94.19999999999999,360,0.7819548872180451,0.5889724310776943,0.9824561403508771
3611310,199,4855,3836,857,162,24.396984924623116,15.0,63.20000000000002,128,0.7236180904522613,0.3417085427135678,0.9195979899497487
4811400,400,7271,6084,1151,36,18.1775,15.0,36.10000000000002,149,0.795,0.0125,0.7675
4503900,201,27370,22968,2996,1406,136.16915422885572,81.0,338.0,738,0.5422885572139303,0.472636815920398,0.8805970149253731
4012000,198,2760,2330,379,51,13.93939393939394,7.5,37.0,74,0.29797979797979796,0.020202020202020204,0.9242424242424242
403040,200,6197,5034,1110,53,30.985,10.0,86.39999999999998,219,0.545,0.465,0.87
3807170,199,2330,2066,188,76,11.708542713567839,4.0,39.0,82,0.5376884422110553,0.10552763819095477,0.7487437185929648
2912300,398,48687,44273,4000,414,122.32914572864321,127.0,232.90000000000003,642,0.7110552763819096,0.2814070351758794,0.9899497487437185
3611160,198,3150,3147,0,3,15.909090909090908,12.5,32.0,88,0.7373737373737373,0.045454545454545456,0.8888888888888888
1715450,198,1913,1787,112,14,9.66161616161616,7.0,20.30000000000001,48,0.6464646464646465,0.30303030303030304,0.7474747474747475
2614700,201,1809,1629,88,92,9.0,4.0,24.0,97,0.263681592039801,0.4228855721393035,0.945273631840796
3303240,409,6102,5500,470,132,14.919315403422983,8.0,38.19999999999999,119,0.4278728606356968,0.2616136919315403,0.8606356968215159
3407410,103,455,434,21,0,4.41747572815534,3.0,7.799999999999997,42,0.04854368932038835,0.0970873786407767,0.9320388349514563
3025020,856,8283,7087,993,203,9.676401869158878,4.0,28.0,207,0.3399532710280374,0.09929906542056074,0.6413551401869159
4821030,407,6813,6046,476,291,16.73955773955774,8.0,45.0,159,0.29975429975429974,0.33906633906633904,0.8648648648648649
4821060,398,18595,15716,2519,360,46.721105527638194,27.0,110.0,665,0.7110552763819096,0.1407035175879397,0.8492462311557789
2306060,408,12186,11366,306,514,29.86764705882353,17.0,77.0,237,0.5931372549019608,0.39705882352941174,0.8088235294117647
2618030,399,4010,3444,427,139,10.050125313283209,2.0,28.0,137,0.5914786967418546,0.3333333333333333,0.9448621553884712
2925640,2807,50639,45546,4548,545,18.040256501603135,6.0,53.0,353,0.596722479515497,0.14748842180263627,0.834698966868543
616860,399,3493,3130,262,101,8.75438596491228,5.0,19.0,99,0.5614035087719298,0.3483709273182957,0.38847117794486213
3600146,198,8649,7744,825,80,43.68181818181818,37.0,75.30000000000001,171,0.6919191919191919,0.11616161616161616,0.9090909090909091
